Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Natália Cardoso,1976-03-19,281.749.065-76,76683,Zootecnista,molestiae,2024-02-16,2024-01-27,27,C0098,fuga,2024-03-13,23433-P,Maria Vitória Pereira,Moura S/A,internação,afastamento parcial,não,perícia,medicação,2024-04-04,2024-05-20,4,15:16:50,Estatutário,2024-06-16,2024-02-06,temporário,Officia dicta id quae.,aprovado
Thales Campos,2000-12-23,156.439.802-15,56113,Embalador,asperiores,2024-01-28,2024-04-07,15,D0025,exercitationem,2024-06-08,92583-P,Sabrina da Costa,Monteiro S/A,internação,afastamento parcial,sim,consulta,repouso,2024-01-17,2024-04-15,0,17:11:37,Estatutário,2024-05-09,2024-02-15,efetivo,Optio dolore dicta corrupti sed.,pendente
Marcela Lopes,2005-04-29,083.541.967-39,30125,Profissional de relações internacionais,id,2024-02-04,2024-05-13,9,D0093,officia,2024-02-22,22308-P,Ana Luiza da Rosa,Mendes,internação,afastamento total,sim,consulta,outro,2024-03-13,2024-05-06,3,12:58:13,CLT,2024-06-09,2024-03-18,temporário,Provident laborum beatae odit eum est.,rejeitado
Sabrina Pinto,2005-06-15,456.738.019-39,84752,Arqueólogo,at,2024-04-10,2024-03-03,29,D0077,nesciunt,2024-06-06,28030-S,Maria Julia Teixeira,Gomes,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-01-02,2024-01-05,3,20:27:24,CLT,2024-05-19,2024-04-24,efetivo,Dolore delectus modi nobis aliquam et.,aprovado
Alexia Cardoso,1983-08-15,859.436.012-60,75535,Lapidário,dolore,2024-06-17,2024-05-07,7,C0031,repellat,2024-05-11,55337-S,Dr. Yago Rezende,Ribeiro da Mata - ME,internação,afastamento total,sim,perícia,repouso,2024-03-26,2024-05-27,2,00:16:30,CLT,2024-03-30,2024-04-30,efetivo,Eveniet blanditiis vitae aspernatur quibusdam.,aprovado
Bruna Campos,1964-03-28,429.851.370-04,8478,Turismólogo,pariatur,2024-02-25,2024-06-07,29,D0014,autem,2024-06-07,18120-P,Marcos Vinicius Nascimento,Martins,ambulatorial,afastamento total,não,consulta,repouso,2024-05-02,2024-05-09,4,22:06:50,CLT,2024-02-27,2024-01-15,efetivo,Fugiat doloribus nostrum.,rejeitado
Cecília Moraes,1998-09-30,905.631.248-06,76057,Terapeuta ocupacional,voluptatum,2024-02-29,2024-06-14,12,B0044,dolores,2024-06-09,41707-S,Bruno Castro,Dias,internação,afastamento parcial,sim,perícia,repouso,2024-05-29,2024-02-05,4,05:33:00,CLT,2024-03-02,2024-04-09,temporário,Deleniti minima eos atque minus ipsam.,aprovado
Srta. Helena Jesus,1985-12-27,536.208.479-83,48894,Tosador,labore,2024-05-23,2024-01-18,25,C0080,maiores,2024-04-29,60198-S,Larissa Rodrigues,Cardoso Ribeiro Ltda.,ambulatorial,afastamento total,sim,consulta,outro,2024-05-29,2024-05-05,2,16:17:48,CLT,2024-01-23,2024-03-23,temporário,Magnam esse nisi pariatur voluptatibus necessitatibus magnam necessitatibus.,aprovado
Evelyn das Neves,2005-10-31,843.679.051-01,51016,Intérprete,iure,2024-05-18,2024-04-28,28,C0015,ex,2024-04-23,88482-S,Marcela Mendes,da Luz Duarte S.A.,internação,afastamento parcial,não,consulta,medicação,2024-02-17,2024-02-17,5,16:12:33,CLT,2024-05-24,2024-05-28,temporário,Voluptates molestiae ut optio.,rejeitado
Sr. Thales Ferreira,1986-12-22,874.290.135-97,68682,Ombudsman,tempore,2024-01-04,2024-04-23,22,C0038,est,2024-05-23,41852-S,Sr. Felipe Ribeiro,Alves Ltda.,internação,afastamento parcial,sim,consulta,medicação,2024-03-29,2024-04-12,3,03:51:22,CLT,2024-03-01,2024-02-18,efetivo,Voluptate praesentium unde veniam dolor iusto inventore.,pendente
Bryan Pinto,2004-09-19,490.672.851-02,53006,Chargista,omnis,2024-04-14,2024-01-26,21,A0045,ullam,2024-05-24,61259-S,Yago Monteiro,Rocha,internação,afastamento total,sim,consulta,outro,2024-04-22,2024-02-29,3,15:10:11,CLT,2024-03-15,2024-02-22,temporário,Amet aliquam ab aspernatur nam.,aprovado
Sra. Vitória da Cunha,1976-04-03,706.913.425-80,8302,Marechal,cumque,2024-01-01,2024-03-24,13,D0090,voluptatibus,2024-02-16,79760-P,Rafael Lopes,Martins,ambulatorial,afastamento parcial,não,consulta,outro,2024-02-13,2024-06-15,5,04:09:06,Estatutário,2024-04-11,2024-01-23,temporário,Suscipit at quisquam dignissimos sit.,pendente
Lorena Duarte,1969-08-20,169.247.508-85,77584,Mecanógrafo,id,2024-03-06,2024-01-16,19,C0055,perspiciatis,2024-01-17,18296-S,Alice Moreira,Pires,ambulatorial,afastamento total,sim,consulta,repouso,2024-05-22,2024-05-03,1,09:26:33,Estatutário,2024-05-25,2024-01-11,efetivo,Reiciendis explicabo accusantium esse nihil a.,pendente
Maria Sophia Moraes,1985-09-17,325.790.648-00,75459,Quiropraxista,nobis,2024-04-11,2024-03-08,23,B0011,commodi,2024-01-28,50517-S,Sr. João Miguel Souza,Lopes,internação,afastamento total,sim,perícia,repouso,2024-03-02,2024-03-25,3,17:45:48,CLT,2024-03-18,2024-01-11,temporário,Architecto facilis id in aspernatur dolores.,rejeitado
Sr. Samuel Correia,2004-11-21,352.467.189-64,1020,Jogador de golfe,soluta,2024-01-24,2024-02-23,16,C0084,quasi,2024-06-06,47272-S,Rodrigo Costa,Sales,ambulatorial,afastamento parcial,sim,perícia,outro,2024-03-31,2024-06-05,4,01:56:52,Estatutário,2024-01-01,2024-01-04,efetivo,Quos culpa fuga repellendus aliquid.,aprovado
Calebe Araújo,2003-03-24,238.160.947-40,44428,Meeiro,odit,2024-02-04,2024-02-09,11,A0071,nemo,2024-04-08,35958-S,Isabella Aragão,Duarte Ltda.,ambulatorial,afastamento parcial,não,consulta,repouso,2024-02-09,2024-01-08,0,09:34:42,Estatutário,2024-02-12,2024-01-22,efetivo,Vero exercitationem neque perspiciatis ipsa.,aprovado
Eloah Viana,1963-04-19,513.920.674-99,37381,Cadeirinha,aliquam,2024-03-16,2024-04-09,14,B0085,corrupti,2024-02-05,76106-P,Maria Alice Santos,Carvalho - EI,internação,afastamento total,não,consulta,medicação,2024-01-25,2024-05-28,5,08:58:28,CLT,2024-01-02,2024-01-31,efetivo,Ipsam doloribus repellendus fugiat neque.,pendente
Ana Sophia Nunes,2001-02-07,164.382.759-64,45456,Embaixador,dolor,2024-03-24,2024-02-07,9,D000,voluptate,2024-04-18,26315-S,Sra. Helena Rodrigues,Ferreira,internação,afastamento parcial,não,consulta,repouso,2024-04-20,2024-05-17,1,02:23:28,CLT,2024-02-04,2024-04-24,temporário,In nobis dolorum minus.,pendente
Erick Lima,1991-05-30,120.453.967-70,43682,Serventuário,molestias,2024-04-06,2024-03-15,4,B0099,iusto,2024-03-30,17830-P,Stella Mendes,Melo e Filhos,internação,afastamento parcial,sim,consulta,medicação,2024-02-28,2024-02-12,0,23:22:16,Estatutário,2024-06-12,2024-06-14,efetivo,Tenetur enim aliquam officiis.,aprovado
Benjamin Carvalho,2005-05-31,910.624.378-96,59356,Jogador de hóquei,aliquam,2024-02-08,2024-05-20,2,D0083,quos,2024-01-15,88637-S,Maysa Campos,Rocha Moraes S.A.,ambulatorial,afastamento parcial,sim,perícia,outro,2024-02-05,2024-04-10,0,19:38:22,Estatutário,2024-01-12,2024-05-23,temporário,Consequatur fuga inventore deserunt sit numquam.,rejeitado
Sarah Nascimento,1994-02-11,184.956.027-76,84034,Historiador,deleniti,2024-05-23,2024-06-03,1,D0070,totam,2024-05-04,37780-S,Paulo Jesus,Viana,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-03-30,2024-01-24,5,04:13:54,Estatutário,2024-04-19,2024-01-19,temporário,Reprehenderit commodi blanditiis sequi.,pendente
Dra. Luana Monteiro,1988-07-15,265.893.071-21,73774,Passador,porro,2024-02-05,2024-01-29,16,A0045,nobis,2024-06-04,18589-P,Enzo Lima,Araújo,ambulatorial,afastamento parcial,não,perícia,repouso,2024-02-24,2024-03-23,0,16:43:14,Estatutário,2024-04-27,2024-03-27,temporário,Dolores quasi nam.,aprovado
Mariane Nascimento,1997-02-10,136.405.279-25,7087,Programador,quia,2024-03-21,2024-05-30,29,A0098,eligendi,2024-06-16,34527-S,Sra. Ana Vitória Ribeiro,Rocha Cardoso e Filhos,internação,afastamento parcial,sim,consulta,medicação,2024-01-16,2024-04-09,0,04:21:28,Estatutário,2024-03-11,2024-03-29,efetivo,Aspernatur neque earum quidem quod nam reiciendis.,aprovado
Mirella Costa,1989-07-27,475.209.861-01,933,Lavador de veículos,adipisci,2024-02-19,2024-04-26,4,D0084,sapiente,2024-01-29,81430-S,Gabrielly Nunes,Melo,ambulatorial,afastamento total,sim,perícia,medicação,2024-04-12,2024-06-07,2,15:18:28,CLT,2024-05-11,2024-06-16,temporário,Repellendus animi eos minima perferendis voluptatem debitis.,aprovado
Maria Sophia Moura,2002-10-01,568.721.934-09,54292,Inspetor,iure,2024-02-08,2024-05-14,21,D0072,sint,2024-03-21,39312-P,Ana Carolina Ribeiro,Cardoso Castro S.A.,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-02-08,2024-01-23,2,02:55:40,CLT,2024-02-15,2024-05-30,efetivo,Doloremque impedit sed porro aperiam.,rejeitado
Miguel Rocha,1997-11-11,837.561.492-00,6689,Médico,dolorum,2024-05-01,2024-05-12,29,C0023,amet,2024-04-24,65872-S,Maria Clara Ferreira,Cardoso,ambulatorial,afastamento parcial,sim,consulta,medicação,2024-03-01,2024-03-07,5,13:22:36,CLT,2024-03-14,2024-01-11,temporário,Impedit consequatur suscipit voluptates voluptate beatae.,pendente
Vitória das Neves,1969-07-08,687.452.390-29,28655,Conferente de recebimento,recusandae,2024-02-29,2024-01-08,24,D0023,similique,2024-03-27,88325-P,Mariana Teixeira,Gomes Costela S.A.,internação,afastamento parcial,sim,perícia,outro,2024-02-27,2024-06-05,5,05:24:52,CLT,2024-03-10,2024-03-11,temporário,Enim dolores quibusdam architecto.,aprovado
Bruno Teixeira,1998-07-12,713.905.864-48,28960,Engenheiro de alimentos,consequuntur,2024-03-15,2024-01-24,30,A0089,nemo,2024-04-17,51665-S,Lorenzo Alves,Rodrigues,internação,afastamento total,não,perícia,outro,2024-04-14,2024-04-17,4,19:07:22,Estatutário,2024-03-14,2024-01-20,temporário,Quaerat minus deserunt dolorem vero dolores.,pendente
Dra. Yasmin Fernandes,1972-05-18,549.028.136-70,94039,Agente comunitário de saúde,non,2024-03-24,2024-05-01,13,A0084,ratione,2024-02-13,69980-S,Emanuelly da Rocha,da Mata Cardoso e Filhos,ambulatorial,afastamento total,não,consulta,medicação,2024-02-05,2024-01-02,3,03:20:22,Estatutário,2024-04-17,2024-02-12,efetivo,Dolor fugiat eos perferendis totam maxime debitis tenetur.,pendente
Luiz Felipe Rodrigues,1991-06-22,035.164.789-93,99943,Cartógrafo,autem,2024-02-03,2024-03-14,17,D0065,praesentium,2024-04-17,71662-S,Isis Barros,Almeida,internação,afastamento parcial,não,consulta,outro,2024-02-06,2024-04-22,0,13:05:36,CLT,2024-01-03,2024-06-02,temporário,Ducimus molestias aspernatur inventore.,pendente
Heitor Oliveira,1995-07-29,014.952.683-06,71703,Luthier,adipisci,2024-06-16,2024-01-27,22,C009,cumque,2024-03-26,47949-P,Luiz Fernando Carvalho,da Rocha - EI,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-02-15,2024-05-25,0,22:10:44,Estatutário,2024-06-01,2024-01-03,efetivo,Accusantium ipsum saepe occaecati necessitatibus.,rejeitado
Olivia Aragão,1971-11-19,347.812.605-35,7578,Massagista,temporibus,2024-05-23,2024-02-14,18,A0044,facilis,2024-03-30,20706-S,Maysa Gomes,Moura Cavalcanti S.A.,internação,afastamento parcial,sim,consulta,outro,2024-05-21,2024-01-10,2,21:06:26,Estatutário,2024-02-09,2024-04-05,efetivo,Culpa natus aliquid soluta itaque cumque.,pendente
Joana Rezende,1976-05-24,365.479.802-00,86967,Zelador,repellat,2024-01-19,2024-01-24,23,B0094,molestiae,2024-03-31,43081-S,Luiz Gustavo Moura,Vieira e Filhos,ambulatorial,afastamento parcial,não,consulta,repouso,2024-03-22,2024-05-01,5,18:20:13,Estatutário,2024-01-26,2024-03-18,efetivo,Porro accusamus eligendi earum atque nesciunt quaerat.,rejeitado
Clarice Mendes,1969-08-11,734.809.621-22,99805,Apicultor,saepe,2024-01-08,2024-02-01,2,D004,fugit,2024-05-17,14151-S,Rafaela Monteiro,Carvalho Cavalcanti - ME,ambulatorial,afastamento total,não,perícia,outro,2024-05-08,2024-03-25,5,10:30:45,CLT,2024-06-14,2024-04-13,temporário,Amet odio est esse reprehenderit a.,rejeitado
Ryan da Costa,2000-04-14,928.045.763-29,68911,Maquinista,eveniet,2024-06-01,2024-06-05,5,D0069,accusantium,2024-01-05,84434-S,Eloah Pires,Gomes,ambulatorial,afastamento total,sim,consulta,outro,2024-05-09,2024-05-27,2,00:13:26,CLT,2024-03-06,2024-05-29,temporário,Ratione blanditiis corporis blanditiis cumque qui molestias aspernatur.,pendente
Alice das Neves,1984-02-29,184.095.736-01,73841,Conferente de carga e descarga,debitis,2024-02-22,2024-03-02,21,C0048,animi,2024-05-14,52954-P,Augusto Campos,Alves,internação,afastamento total,não,consulta,medicação,2024-01-13,2024-01-05,3,14:38:54,Estatutário,2024-03-07,2024-03-27,efetivo,Voluptatibus nihil eum error.,pendente
Stephany da Rosa,1963-12-09,185.427.690-58,34549,Regente,minima,2024-04-08,2024-06-01,17,D0050,veniam,2024-05-02,67021-P,Luana Barbosa,Carvalho Pires - ME,ambulatorial,afastamento parcial,sim,consulta,outro,2024-03-25,2024-03-03,2,05:06:38,CLT,2024-05-27,2024-04-11,efetivo,Reprehenderit quae sunt hic iusto numquam accusamus.,aprovado
Emanuella Almeida,1982-02-09,859.342.761-82,56077,Analista de sistemas,maxime,2024-01-19,2024-02-04,20,D0048,illo,2024-01-07,90511-S,Mariana Melo,da Rocha,ambulatorial,afastamento total,não,consulta,repouso,2024-05-08,2024-05-10,0,21:46:04,Estatutário,2024-03-03,2024-04-22,efetivo,Magni repellat aut nulla mollitia.,pendente
Catarina Rocha,1983-06-07,413.076.859-00,52441,Profissional de educação física,occaecati,2024-04-04,2024-04-17,11,B0094,perspiciatis,2024-01-22,67268-S,Rafaela Mendes,Mendes S.A.,ambulatorial,afastamento total,não,perícia,outro,2024-03-13,2024-05-15,2,03:09:44,CLT,2024-01-22,2024-01-12,efetivo,Aliquid sit suscipit illum.,pendente
Samuel Moreira,2005-09-15,738.261.504-90,59587,Investigador de Polícia,laboriosam,2024-03-13,2024-02-03,21,B0097,quisquam,2024-02-16,98136-S,Pedro Henrique da Cruz,Duarte,ambulatorial,afastamento total,sim,perícia,medicação,2024-02-28,2024-04-15,4,09:08:25,CLT,2024-01-14,2024-04-18,temporário,Corrupti labore eius tempore laboriosam cupiditate reiciendis.,aprovado
Sophie Freitas,1976-07-27,418.592.036-98,5750,Técnico em edificações,consequuntur,2024-05-04,2024-05-16,23,C0012,quisquam,2024-02-29,72018-P,Dra. Beatriz Fogaça,Novaes,internação,afastamento parcial,sim,consulta,repouso,2024-02-18,2024-04-01,4,13:22:15,CLT,2024-01-15,2024-01-25,temporário,Aperiam commodi perferendis porro modi eaque dolorem.,pendente
Matheus da Rocha,1975-03-14,965.023.148-05,70752,Engenheiro de processos,sint,2024-05-21,2024-02-05,17,D0022,reiciendis,2024-05-27,83813-P,Yasmin Monteiro,Barbosa - ME,internação,afastamento total,não,perícia,repouso,2024-02-05,2024-04-24,0,12:30:03,CLT,2024-02-13,2024-03-24,temporário,Vero odit quis sed architecto ipsa.,pendente
Vitor Silva,1979-02-14,039.682.415-33,90061,Embalsamador,repellat,2024-06-13,2024-06-14,20,C0072,ipsa,2024-01-27,33617-P,Dr. Henrique Nunes,Costela,ambulatorial,afastamento total,sim,consulta,medicação,2024-05-29,2024-05-08,4,22:30:07,CLT,2024-01-30,2024-03-14,temporário,Rerum ut eaque.,pendente
Mariane Sales,1998-06-29,278.419.605-49,35164,Baixista,perspiciatis,2024-05-31,2024-03-31,13,B0019,repudiandae,2024-05-05,79331-P,Dr. Leandro Gomes,Rezende - EI,internação,afastamento total,não,perícia,outro,2024-04-29,2024-06-01,4,15:46:49,Estatutário,2024-04-14,2024-06-02,temporário,Rerum unde consequatur doloribus.,rejeitado
Luigi Moreira,1974-01-13,352.197.840-05,46867,Diarista,dolore,2024-04-17,2024-03-13,29,B0023,possimus,2024-02-15,32227-S,Sofia Porto,Cardoso e Filhos,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-01-03,2024-02-10,4,11:47:27,Estatutário,2024-02-29,2024-01-12,temporário,Dignissimos voluptates libero soluta et eaque debitis.,rejeitado
Matheus Lopes,1991-08-01,230.854.671-90,92801,Webmaster,veniam,2024-05-22,2024-04-24,17,C0071,dolorum,2024-04-10,98000-S,Dr. Francisco Aragão,da Rosa S/A,internação,afastamento parcial,sim,consulta,medicação,2024-02-04,2024-05-11,3,06:57:37,Estatutário,2024-01-23,2024-03-10,temporário,Repudiandae praesentium magni quibusdam dicta tempore.,pendente
